lat,lon,date,website
41.214523,-111.863199,1968-10Aut,http://www.bfro.net/GDB/show_report.asp?id=2347
41.676464,-73.475508,1968-11-??,http://www.bfro.net/GDB/show_report.asp?id=847
33.399618,-117.415708,1968-11-??,http://www.bfro.net/GDB/show_report.asp?id=2907
42.594466,-76.197684,1969-01-??,http://www.bfro.net/GDB/show_report.asp?id=1451
49.221926,-121.056667,1969-01-10,http://www.bfro.net/GDB/show_report.asp?id=10119
45.545433,-123.186166,1969-03-??,http://www.bfro.net/GDB/show_report.asp?id=700
45.632317,-122.015227,1969-03-05,http://www.bfro.net/GDB/show_report.asp?id=1621
47.054400,-123.956154,1969-07-27,http://www.bfro.net/GDB/show_article.asp?id=129
39.791535,-79.910903,1969-07Sum,http://www.bfro.net/GDB/show_report.asp?id=3566
33.820295,-94.270939,1969-08-??,http://www.bfro.net/GDB/show_report.asp?id=1944
48.306517,-121.092709,1969-08-11,http://www.bfro.net/GDB/show_article.asp?id=144
44.933613,-116.051500,1969-08-16,http://www.bfro.net/GDB/show_report.asp?id=4741
47.781773,-115.955803,1969-10-??,http://www.bfro.net/GDB/show_report.asp?id=10510
40.325832,-121.836739,1969-11-??,http://www.bfro.net/GDB/show_report.asp?id=849
46.674557,-121.577677,1969-11-15,http://www.bfro.net/GDB/show_report.asp?id=5453
39.502357,-76.428441,197?-??-??,http://www.bfro.net/GDB/show_report.asp?id=1168
40.533972,-80.100215,197?-??-??,http://www.bfro.net/GDB/show_report.asp?id=856
38.564640,-83.321896,197?-??-??,http://www.bfro.net/GDB/show_report.asp?id=6210
31.388508,-92.307550,197?-??-??,http://www.bfro.net/GDB/show_report.asp?id=1459
40.335574,-80.643008,197?-01Win,http://www.bfro.net/GDB/show_report.asp?id=6848
31.408024,-93.737512,197?-06-??,http://www.bfro.net/GDB/show_report.asp?id=1213
31.128666,-92.495875,197?-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1460
35.289891,-95.984438,197?-07Sum,http://www.bfro.net/GDB/show_report.asp?id=5817
44.863272,-122.640756,197?-07Sum,http://www.bfro.net/GDB/show_report.asp?id=2628
34.363174,-117.898268,197?-10-??,http://www.bfro.net/GDB/show_report.asp?id=325
34.436474,-92.604854,197?-10Aut,http://www.bfro.net/GDB/show_report.asp?id=4095
44.726543,-122.023852,1970-??-??,http://www.bfro.net/GDB/show_report.asp?id=688
47.137077,-124.096011,1970-05-??,http://www.bfro.net/GDB/show_article.asp?id=141
35.996275,-93.830366,1970-06-??,http://www.bfro.net/GDB/show_report.asp?id=2957
42.984138,-75.880464,1970-07-??,http://www.bfro.net/GDB/show_report.asp?id=454
40.576029,-75.093437,1970-07-05,http://www.bfro.net/GDB/show_report.asp?id=459
39.645452,-77.852098,1970-07-15,http://www.bfro.net/GDB/show_report.asp?id=232
43.078101,-91.387489,1970-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1234
32.814188,-116.788665,1970-07Sum,http://www.bfro.net/GDB/show_report.asp?id=2782
46.950417,-122.311922,1970-07Sum,http://www.bfro.net/GDB/show_report.asp?id=9868
39.615304,-74.388593,1970-08-??,http://www.bfro.net/GDB/show_report.asp?id=642
40.349607,-88.943680,1970-08-??,http://www.bfro.net/GDB/show_article.asp?id=430
47.397594,-79.692000,1970-08-0?,http://www.bfro.net/GDB/show_article.asp?id=66
45.334396,-121.635995,1970-10-??,http://www.bfro.net/GDB/show_report.asp?id=3050
40.334415,-106.803037,1970-10-15,http://www.bfro.net/GDB/show_report.asp?id=1372
42.751987,-91.804372,1970-11-??,http://www.bfro.net/GDB/show_report.asp?id=4011
36.095206,-80.773217,1971-??-??,http://www.bfro.net/GDB/show_report.asp?id=3439
41.463733,-77.129250,1971-04Spr,http://www.bfro.net/GDB/show_report.asp?id=5563
40.675780,-80.572726,1971-06-??,http://www.bfro.net/GDB/show_report.asp?id=4307
34.397850,-117.811144,1971-06-??,http://www.bfro.net/GDB/show_article.asp?id=173
45.405035,-122.359213,1971-06-??,http://www.bfro.net/GDB/show_report.asp?id=604
36.647880,-91.183963,1971-06-01,http://www.bfro.net/GDB/show_report.asp?id=1120
38.964558,-76.489436,1971-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1163
39.376030,-81.670525,1971-07Sum,http://www.bfro.net/GDB/show_report.asp?id=4983
38.241692,-119.995107,1971-08-??,http://www.bfro.net/GDB/show_report.asp?id=1954
46.237335,-122.172826,1971-08-??,http://www.bfro.net/GDB/show_report.asp?id=1645
39.030390,-106.271087,1971-09-??,http://www.bfro.net/GDB/show_report.asp?id=3606
34.743061,-94.998394,1971-10-??,http://www.bfro.net/GDB/show_report.asp?id=2909
41.693974,-79.621010,1971-10Aut,http://www.bfro.net/GDB/show_report.asp?id=3559
58.471298,-115.893333,1972-??-??,http://www.bfro.net/GDB/show_report.asp?id=1402
39.258785,-105.507415,1972-04-??,http://www.bfro.net/GDB/show_report.asp?id=1370
30.320477,-85.446520,1972-05-15,http://www.bfro.net/GDB/show_report.asp?id=5519
45.744925,-122.242053,1972-05-22,http://www.bfro.net/GDB/show_report.asp?id=1652
34.747573,-95.789169,1972-07-??,http://www.bfro.net/GDB/show_report.asp?id=10595
39.441111,-91.049716,1972-07-11,http://www.bfro.net/GDB/show_article.asp?id=43
39.417027,-91.117594,1972-07-15,http://www.bfro.net/GDB/show_report.asp?id=1136
37.009249,-89.173018,1972-07-2?,http://www.bfro.net/GDB/show_article.asp?id=431
39.443058,-91.043603,1972-07-21,http://www.bfro.net/GDB/show_article.asp?id=43
40.617957,-89.570829,1972-07-26,http://www.bfro.net/GDB/show_article.asp?id=285
40.604053,-89.608779,1972-07-27,http://www.bfro.net/GDB/show_article.asp?id=287
40.365003,-79.355099,1972-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1089
41.111956,-80.983246,1972-07Sum,http://www.bfro.net/GDB/show_report.asp?id=4959
35.315584,-113.915912,1972-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1853
30.917759,-102.847338,1972-07Sum,http://www.bfro.net/GDB/show_report.asp?id=7653
29.735184,-81.960043,1972-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1021
46.332350,-92.731814,1972-08-??,http://www.bfro.net/GDB/show_report.asp?id=3801
39.639359,-119.830955,1972-08-??,http://www.bfro.net/GDB/show_report.asp?id=5770
